IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,REGION
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,Midwest
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.33731,-64.97336,Over Seas Territory
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,Over Seas Territory
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659,West
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38437,Midwest
SWF,Stewart International Airport,Newburgh,NY,USA,41.50409,-74.10484,Northeast
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631,Northeast
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033,South
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783,Midwest
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,South
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742,South
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347,Northeast
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,South
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,West
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74144,-85.58224,Midwest
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA,42.4818,-114.48774,West
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45371,-93.99102,South
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239,South
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286,South
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA,,,South
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992,West
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672,South
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254,South
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433,-132.36982,West
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764,West
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681,South
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,West
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597,West
